0,0.000187
500,0.226031
1000,0.586611
1500,0.76287
2000,1.05473
2500,1.3501
3000,1.64542
3500,1.95772
4000,2.26379
4500,2.74973
5000,2.89544
5500,3.21547
6000,3.5589
6500,3.8562
7000,4.18194
7500,4.5118
8000,4.842
8500,5.1724
9000,5.51665
9500,6.16119
10000,6.21529
10500,6.54938
11000,6.8619
11500,8.02336
12000,7.59649
12500,7.92596
13000,8.24363
13500,8.61737
14000,8.94985
14500,9.28443
15000,9.63282
15500,9.99325
16000,10.3477
16500,11.77
17000,11.1805
17500,11.4257
18000,11.8157
18500,12.6084
19000,12.517
19500,13.2122
20000,13.2785
20500,13.5623
21000,14.6174
21500,14.2944
22000,14.6397
22500,15.0128
23000,15.3999
23500,15.7278
24000,16.0979
24500,16.731
25000,16.8295
25500,17.1984
26000,17.5505
26500,17.9079
27000,18.6996
27500,18.6429
28000,19.0031
28500,19.8147
29000,19.7391
29500,20.1186
30000,20.4998
